,Name,Replacement,Frequency
0,Aaberg,proper_name_surname,0.0
1,Aaby,proper_name_surname,0.0
2,Aadland,proper_name_surname,0.0
3,Aagaard,proper_name_surname,0.0
4,Aakre,proper_name_surname,0.0
5,Aaland,proper_name_surname,0.0
6,Aalbers,proper_name_surname,0.0
7,Aalderink,proper_name_surname,0.0
8,Aalund,proper_name_surname,0.0
9,Aamodt,proper_name_surname,0.0
10,Aamot,proper_name_surname,0.0
11,Aanderud,proper_name_surname,0.0
12,Aanenson,proper_name_surname,0.0
13,Aanerud,proper_name_surname,0.0
14,Aarant,proper_name_surname,0.0
15,Aardema,proper_name_surname,0.0
16,Aarestad,proper_name_surname,0.0
17,Aarhus,proper_name_surname,0.0
18,Aaron,proper_name_male,0.24
19,Aarons,proper_name_surname,0.001
20,Aaronson,proper_name_surname,0.0
21,Aarsvold,proper_name_surname,0.0
22,Aas,proper_name_surname,0.0
23,Aasby,proper_name_surname,0.0
24,Aase,proper_name_surname,0.0
25,Aasen,proper_name_surname,0.001
26,Aavang,proper_name_surname,0.0
27,Abad,proper_name_surname,0.001
28,Abadi,proper_name_surname,0.0
29,Abadie,proper_name_surname,0.001
30,Abair,proper_name_surname,0.0
31,Abaja,proper_name_surname,0.0
32,Abajian,proper_name_surname,0.0
33,Abalos,proper_name_surname,0.0
34,Abaloz,proper_name_surname,0.0
35,Abar,proper_name_surname,0.0
36,Abarca,proper_name_surname,0.001
37,Abare,proper_name_surname,0.0
38,Abascal,proper_name_surname,0.0
39,Abasta,proper_name_surname,0.0
40,Abate,proper_name_surname,0.001
41,Abati,proper_name_surname,0.0
42,Abatiell,proper_name_surname,0.0
43,Abato,proper_name_surname,0.0
44,Abatti,proper_name_surname,0.0
45,Abaunza,proper_name_surname,0.0
46,Abaya,proper_name_surname,0.0
47,Abbadessa,proper_name_surname,0.0
48,Abbamonte,proper_name_surname,0.0
49,Abbas,proper_name_surname,0.001
50,Abbasi,proper_name_surname,0.0
51,Abbassi,proper_name_surname,0.0
52,Abbate,proper_name_surname,0.001
53,Abbatiello,proper_name_surname,0.0
54,Abbay,proper_name_surname,0.0
55,Abbe,proper_name_surname,0.0
56,Abbed,proper_name_surname,0.0
57,Abbenante,proper_name_surname,0.0
58,Abbey,proper_name_male,0.004
59,Abbie,proper_name_male,0.008
60,Abbinanti,proper_name_surname,0.0
61,Abbington,proper_name_surname,0.0
62,Abbitt,proper_name_surname,0.0
63,Abbot,proper_name_surname,0.0
64,Abbott,proper_name_surname,0.025
65,Abboud,proper_name_surname,0.0
66,Abbruzzese,proper_name_surname,0.0
67,Abbs,proper_name_surname,0.0
68,Abby,proper_name_male,0.016
69,Abdalla,proper_name_surname,0.0
70,Abdallah,proper_name_surname,0.001
71,Abdel,proper_name_surname,0.0
72,Abdelal,proper_name_surname,0.0
73,Abdelaziz,proper_name_surname,0.0
74,Abdeldayen,proper_name_surname,0.0
75,Abdelhamid,proper_name_surname,0.0
76,Abdella,proper_name_surname,0.0
77,Abdelmuti,proper_name_surname,0.0
78,Abdelrahman,proper_name_surname,0.0
79,Abdelwahed,proper_name_surname,0.0
80,Abdi,proper_name_surname,0.0
81,Abdin,proper_name_surname,0.0
82,Abdo,proper_name_surname,0.001
83,Abdon,proper_name_surname,0.0
84,Abdool,proper_name_surname,0.0
85,Abdou,proper_name_surname,0.0
86,Abdul,proper_name_male,0.007
87,Abdula,proper_name_surname,0.0
88,Abdulaziz,proper_name_surname,0.0
89,Abdulkarim,proper_name_surname,0.0
90,Abdulla,proper_name_surname,0.0
91,Abdullah,proper_name_surname,0.002
92,Abdullai,proper_name_surname,0.0
93,Abdulmateen,proper_name_surname,0.0
94,Abdulmuniem,proper_name_surname,0.0
95,Abdur,proper_name_surname,0.0
96,Abe,proper_name_male,0.006
97,Abeb,proper_name_surname,0.0
98,Abed,proper_name_surname,0.0
99,Abedelah,proper_name_surname,0.0
100,Abedi,proper_name_surname,0.0
101,Abee,proper_name_surname,0.0
102,Abegg,proper_name_surname,0.0
103,Abeita,proper_name_surname,0.0
104,Abel,proper_name_male,0.019
105,Abela,proper_name_surname,0.0
106,Abelar,proper_name_surname,0.0
107,Abelardo,proper_name_surname,0.0
108,Abele,proper_name_surname,0.0
109,Abeles,proper_name_surname,0.0
110,Abell,proper_name_surname,0.003
111,Abella,proper_name_surname,0.0
112,Abellera,proper_name_surname,0.0
113,Abelman,proper_name_surname,0.0
114,Abeln,proper_name_surname,0.0
115,Abels,proper_name_surname,0.001
116,Abelson,proper_name_surname,0.0
117,Aben,proper_name_surname,0.0
118,Abend,proper_name_surname,0.0
119,Abendroth,proper_name_surname,0.0
120,Aber,proper_name_surname,0.0
121,Abercombie,proper_name_surname,0.0
122,Abercrombie,proper_name_surname,0.002
123,Aberle,proper_name_surname,0.0
124,Abernatha,proper_name_surname,0.0
125,Abernathy,proper_name_surname,0.007
126,Abernethy,proper_name_surname,0.001
